,Mkt-RF,SMB,HML,RF
20180102,    0.85,    0.35,   -0.21,   0.006
20180103,    0.59,   -0.39,   -0.19,   0.006
20180104,    0.42,   -0.26,    0.25,   0.006
20180105,    0.66,   -0.35,   -0.25,   0.006
20180108,    0.19,   -0.15,    0.04,   0.006
20180109,    0.15,   -0.35,   -0.04,   0.006
20180110,   -0.07,    0.06,    0.56,   0.006
20180111,    0.87,    1.14,    0.30,   0.006
20180112,    0.66,   -0.32,    0.16,   0.006
20180116,   -0.49,   -1.02,    0.01,   0.006
20180117,    0.95,   -0.03,   -0.10,   0.006
20180118,   -0.18,   -0.50,   -0.25,   0.006
20180119,    0.57,    0.94,   -0.05,   0.006
20180122,    0.77,   -0.34,   -0.16,   0.006
20180123,    0.22,    0.14,   -0.36,   0.006
20180124,   -0.13,   -0.84,    0.44,   0.006
20180125,    0.07,    0.14,   -0.54,   0.006
20180126,    1.11,   -0.60,   -0.51,   0.006
20180129,   -0.62,   -0.04,   -0.28,   0.006
20180130,   -1.06,    0.14,   -0.21,   0.006
20180131,   -0.07,   -0.74,    0.11,   0.006
20180201,    0.03,    0.08,    0.53,   0.006
20180202,   -2.13,    0.04,   -0.29,   0.006
20180205,   -4.03,    0.78,   -0.58,   0.006
20180206,    1.67,   -0.52,   -0.18,   0.006
20180207,   -0.38,    0.52,    0.20,   0.006
20180208,   -3.68,    0.81,    0.51,   0.006
20180209,    1.36,   -0.58,    0.15,   0.006
20180212,    1.36,   -0.47,   -0.30,   0.006
20180213,    0.31,    0.08,   -0.24,   0.006
20180214,    1.52,    0.26,    0.48,   0.006
20180215,    1.21,   -0.14,   -0.63,   0.006
20180216,    0.03,    0.36,    0.16,   0.006
20180220,   -0.62,   -0.36,   -0.24,   0.006
20180221,   -0.43,    0.78,    0.23,   0.006
20180222,    0.01,    0.04,   -0.41,   0.006
20180223,    1.54,   -0.38,   -0.15,   0.006
20180226,    1.12,   -0.51,   -0.07,   0.006
20180227,   -1.25,   -0.19,    0.03,   0.006
20180228,   -1.11,   -0.42,   -0.32,   0.006
20180301,   -1.19,    1.01,   -0.02,   0.005
20180302,    0.70,    1.17,   -0.49,   0.005
20180305,    1.06,   -0.39,    0.23,   0.005
20180306,    0.36,    0.69,    0.12,   0.005
20180307,    0.05,    0.78,   -0.44,   0.005
20180308,    0.37,   -0.48,   -0.36,   0.005
20180309,    1.70,   -0.25,    0.28,   0.005
20180312,   -0.09,    0.47,   -0.08,   0.005
20180313,   -0.67,    0.08,    0.03,   0.005
20180314,   -0.53,    0.23,   -0.57,   0.005
20180315,   -0.18,   -0.39,    0.31,   0.005
20180316,    0.25,    0.46,    0.17,   0.005
20180319,   -1.38,    0.35,    0.41,   0.005
20180320,    0.15,   -0.08,   -0.36,   0.005
20180321,   -0.06,    0.75,    0.44,   0.005
20180322,   -2.54,    0.51,   -0.49,   0.005
20180323,   -2.09,    0.21,   -0.23,   0.005
20180326,    2.67,   -0.68,    0.03,   0.005
20180327,   -1.87,   -0.21,    0.37,   0.005
20180328,   -0.35,    0.13,    0.64,   0.005
20180329,    1.41,   -0.31,   -0.22,   0.005
20180402,   -2.29,   -0.14,    0.37,   0.007
20180403,    1.24,   -0.03,    0.19,   0.007
20180404,    1.17,    0.33,   -0.31,   0.007
20180405,    0.75,    0.03,    0.47,   0.007
20180406,   -2.19,    0.39,   -0.06,   0.007
20180409,    0.30,   -0.15,   -0.52,   0.007
20180410,    1.77,    0.40,   -0.12,   0.007
20180411,   -0.49,    0.92,   -0.31,   0.007
20180412,    0.84,   -0.23,    0.18,   0.007
20180413,   -0.37,    0.03,   -0.25,   0.007
20180416,    0.82,    0.08,   -0.02,   0.007
20180417,    1.09,    0.16,   -1.18,   0.007
20180418,    0.13,    0.21,    0.02,   0.007
20180419,   -0.49,   -0.47,    1.08,   0.007
20180420,   -0.81,    0.06,    0.58,   0.007
20180423,   -0.05,   -0.07,    0.19,   0.007
20180424,   -1.30,    0.53,    1.02,   0.007
20180425,    0.10,   -0.34,    0.06,   0.007
20180426,    0.96,   -0.38,   -0.84,   0.007
20180427,    0.01,   -0.26,    0.04,   0.007
20180430,   -0.80,    0.03,   -0.09,   0.007
20180501,    0.24,    0.23,   -0.53,   0.006
20180502,   -0.63,    1.28,   -0.36,   0.006
20180503,   -0.25,   -0.52,   -0.15,   0.006
20180504,    1.30,    0.02,   -0.20,   0.006
20180507,    0.42,    0.42,   -0.33,   0.006
20180508,    0.07,    0.50,    0.24,   0.006
20180509,    0.89,   -0.23,    0.25,   0.006
20180510,    0.85,   -0.43,   -0.04,   0.006
20180511,    0.19,    0.12,   -0.38,   0.006
20180514,    0.05,   -0.36,    0.11,   0.006
20180515,   -0.55,    0.67,    0.40,   0.006
20180516,    0.50,    0.71,   -0.25,   0.006
20180517,    0.02,    0.90,    0.29,   0.006
20180518,   -0.23,    0.57,   -0.61,   0.006
20180521,    0.72,   -0.19,    0.44,   0.006
20180522,   -0.42,   -0.76,    0.61,   0.006
20180523,    0.29,    0.05,   -0.70,   0.006
20180524,   -0.16,    0.37,   -0.35,   0.006
20180525,   -0.21,    0.25,   -0.39,   0.006
20180529,   -1.04,    1.32,   -1.03,   0.006
20180530,    1.31,    0.04,    0.37,   0.006
20180531,   -0.70,    0.08,   -0.42,   0.006
20180601,    1.06,   -0.23,   -0.11,   0.006
20180604,    0.48,    0.17,   -0.45,   0.006
20180605,    0.17,    0.82,   -0.44,   0.006
20180606,    0.86,   -0.33,    0.20,   0.006
20180607,   -0.14,   -0.30,    0.93,   0.006
20180608,    0.31,    0.08,   -0.40,   0.006
20180611,    0.12,    0.17,   -0.17,   0.006
20180612,    0.23,    0.23,   -0.63,   0.006
20180613,   -0.33,    0.08,   -0.20,   0.006
20180614,    0.27,    0.32,   -1.00,   0.006
20180615,   -0.08,    0.05,   -0.24,   0.006
20180618,   -0.09,    0.72,    0.08,   0.006
20180619,   -0.38,    0.57,   -0.14,   0.006
20180620,    0.23,    0.73,   -0.51,   0.006
20180621,   -0.73,   -0.63,    0.33,   0.006
20180622,    0.11,    0.00,    0.46,   0.006
20180625,   -1.48,   -0.54,    0.57,   0.006
20180626,    0.27,    0.63,   -0.24,   0.006
20180627,   -1.02,   -0.99,    0.36,   0.006
20180628,    0.58,   -0.18,   -0.51,   0.006
20180629,    0.07,   -0.20,   -0.24,   0.006
20180702,    0.36,    0.44,   -0.25,   0.008
20180703,   -0.44,    0.81,   -0.02,   0.008
20180705,    0.87,    0.44,   -0.43,   0.008
20180706,    0.88,    0.05,   -0.30,   0.008
20180709,    0.93,   -0.41,    0.86,   0.008
20180710,    0.21,   -0.78,   -0.17,   0.008
20180711,   -0.69,   -0.02,   -0.45,   0.008
20180712,    0.86,   -0.35,   -1.14,   0.008
20180713,    0.08,   -0.12,   -0.29,   0.008
20180716,   -0.16,   -0.77,    0.98,   0.008
20180717,    0.48,    0.26,   -0.76,   0.008
20180718,    0.27,   -0.28,    0.67,   0.008
20180719,   -0.34,    0.96,   -0.36,   0.008
20180720,   -0.10,   -0.18,    0.12,   0.008
20180723,    0.15,   -0.30,    0.55,   0.008
20180724,    0.22,   -1.36,    0.39,   0.008
20180725,    0.83,   -0.43,   -1.06,   0.008
20180726,   -0.20,    0.64,    0.57,   0.008
20180727,   -0.82,   -1.38,    1.06,   0.008
20180730,   -0.70,   -0.21,    1.56,   0.008
20180731,    0.51,    0.85,   -1.11,   0.008
20180801,   -0.13,    0.04,   -0.18,   0.007
20180802,    0.67,    0.31,   -0.67,   0.007
20180803,    0.31,   -1.07,    0.52,   0.007
20180806,    0.46,    0.25,   -0.33,   0.007
20180807,    0.29,    0.03,   -0.17,   0.007
20180808,   -0.04,   -0.12,    0.27,   0.007
20180809,   -0.05,    0.37,   -0.35,   0.007
20180810,   -0.60,    0.39,   -0.21,   0.007
20180813,   -0.46,   -0.15,   -0.30,   0.007
20180814,    0.69,    0.30,    0.21,   0.007
20180815,   -0.91,   -0.54,   -0.12,   0.007
20180816,    0.86,   -0.07,    0.26,   0.007
20180817,    0.30,    0.09,    0.02,   0.007
20180820,    0.25,    0.12,    0.14,   0.007
20180821,    0.33,    0.90,    0.12,   0.007
20180822,    0.05,    0.36,   -0.35,   0.007
20180823,   -0.19,   -0.06,   -0.33,   0.007
20180824,    0.62,   -0.02,   -0.57,   0.007
20180827,    0.74,   -0.67,   -0.16,   0.007
20180828,   -0.01,   -0.12,   -0.28,   0.007
20180829,    0.56,   -0.05,   -0.58,   0.007
20180830,   -0.41,    0.29,   -0.42,   0.007
20180831,    0.08,    0.50,   -0.39,   0.007
20180904,   -0.11,   -0.37,    0.01,   0.008
20180905,   -0.41,   -0.18,    0.66,   0.008
20180906,   -0.44,   -0.35,   -0.24,   0.008
20180907,   -0.18,    0.10,   -0.21,   0.008
20180910,    0.23,    0.12,   -0.37,   0.008
20180911,    0.37,   -0.29,   -0.24,   0.008
20180912,    0.03,   -0.06,   -0.22,   0.008
20180913,    0.45,   -0.44,   -0.40,   0.008
20180914,    0.12,    0.27,    0.25,   0.008
20180917,   -0.71,   -0.45,    0.84,   0.008
20180918,    0.57,    0.05,   -0.48,   0.008
20180919,    0.06,   -0.66,    1.28,   0.008
20180920,    0.77,    0.31,   -0.22,   0.008
20180921,   -0.13,   -0.42,    0.30,   0.008
20180924,   -0.31,    0.06,   -0.91,   0.008
20180925,   -0.05,    0.27,   -0.38,   0.008
20180926,   -0.40,   -0.38,   -0.63,   0.008
20180927,    0.27,   -0.26,   -0.56,   0.008
20180928,   -0.03,    0.40,   -0.20,   0.008
20181001,    0.16,   -1.62,    0.34,   0.008
20181002,   -0.21,   -0.98,    0.60,   0.008
20181003,    0.20,    0.84,    0.50,   0.008
20181004,   -0.93,   -1.06,    1.58,   0.008
20181005,   -0.64,   -0.42,    0.39,   0.008
20181008,   -0.17,   -0.40,    1.22,   0.008
20181009,   -0.18,   -0.29,    0.28,   0.008
20181010,   -3.33,    0.30,    1.12,   0.008
20181011,   -1.96,    0.45,   -0.92,   0.008
20181012,    1.38,   -0.88,   -1.74,   0.008
20181015,   -0.48,    0.92,    0.51,   0.008
20181016,    2.24,    0.68,   -1.43,   0.008
20181017,   -0.08,   -0.68,    0.26,   0.008
20181018,   -1.54,   -0.54,    0.43,   0.008
20181019,   -0.25,   -1.33,    0.72,   0.008
20181022,   -0.38,    0.48,   -1.25,   0.008
20181023,   -0.62,   -0.09,   -0.42,   0.008
20181024,   -3.33,   -0.93,    0.77,   0.008
20181025,    1.93,    0.41,   -0.59,   0.008
20181026,   -1.65,    0.58,    0.35,   0.008
20181029,   -0.77,   -0.33,    1.61,   0.008
20181030,    1.66,    0.42,    0.07,   0.008
20181031,    1.22,   -0.66,   -0.73,   0.008
20181101,    1.29,    1.35,   -1.14,   0.008
20181102,   -0.53,    0.80,    0.67,   0.008
20181105,    0.40,   -1.01,    1.56,   0.008
20181106,    0.58,   -0.16,    0.03,   0.008
20181107,    2.11,   -0.33,   -1.06,   0.008
20181108,   -0.28,   -0.25,    0.25,   0.008
20181109,   -1.04,   -0.86,    0.42,   0.008
20181112,   -2.06,    0.01,    0.85,   0.008
20181113,   -0.13,   -0.11,    0.16,   0.008
20181114,   -0.77,    0.03,   -0.28,   0.008
20181115,    1.18,    0.36,   -0.40,   0.008
20181116,    0.15,    0.02,   -0.06,   0.008
20181119,   -1.88,   -0.73,    2.30,   0.008
20181120,   -1.85,    0.14,   -0.54,   0.008
20181121,    0.51,    0.98,   -0.34,   0.008
20181123,   -0.55,    0.83,   -0.60,   0.008
20181126,    1.62,   -0.66,   -0.20,   0.008
20181127,    0.11,   -1.09,    0.26,   0.008
20181128,    2.42,    0.45,   -1.17,   0.008
20181129,   -0.22,   -0.10,   -0.10,   0.008
20181130,    0.78,   -0.33,   -0.43,   0.008
20181203,    1.13,   -0.05,   -0.81,   0.011
20181204,   -3.45,   -0.96,   -0.20,   0.011
20181206,   -0.16,    0.13,   -1.05,   0.011
20181207,   -2.36,    0.21,    1.33,   0.011
20181210,    0.10,   -0.11,   -1.62,   0.011
20181211,   -0.08,   -0.05,   -0.42,   0.011
20181212,    0.68,    0.58,   -0.18,   0.011
20181213,   -0.26,   -1.51,   -0.19,   0.011
20181214,   -1.89,   -0.07,    0.50,   0.011
20181217,   -2.13,   -0.26,    1.08,   0.011
20181218,   -0.03,    0.02,   -0.61,   0.011
20181219,   -1.58,   -0.62,    0.03,   0.011
20181220,   -1.62,   -0.29,    0.97,   0.011
20181221,   -2.17,   -0.55,    0.76,   0.011
20181224,   -2.55,    1.00,   -0.49,   0.011
20181226,    5.06,   -0.05,   -1.01,   0.011
20181227,    0.78,   -0.67,   -0.13,   0.011
20181228,   -0.03,    0.77,    0.26,   0.011
20181231,    0.90,   -0.10,   -0.45,   0.011
20190102,    0.23,    0.59,    1.12,   0.010
20190103,   -2.45,    0.36,    1.19,   0.010
20190104,    3.55,    0.41,   -0.70,   0.010
20190107,    0.94,    1.00,   -0.75,   0.010
20190108,    1.01,    0.52,   -0.63,   0.010
20190109,    0.56,    0.46,    0.10,   0.010
20190110,    0.42,    0.03,   -0.46,   0.010
20190111,   -0.01,    0.12,    0.22,   0.010
20190114,   -0.60,   -0.59,    0.94,   0.010
20190115,    1.06,    0.00,   -0.88,   0.010
20190116,    0.28,    0.04,    0.92,   0.010
20190117,    0.75,    0.11,   -0.24,   0.010
20190118,    1.29,   -0.36,    0.12,   0.010
20190122,   -1.53,   -0.40,    0.33,   0.010
20190123,    0.15,   -0.39,   -0.14,   0.010
20190124,    0.23,    0.44,    0.00,   0.010
20190125,    0.90,    0.46,   -0.35,   0.010
20190128,   -0.80,   -0.16,    0.63,   0.010
20190129,   -0.19,   -0.01,    0.17,   0.010
20190130,    1.51,   -0.15,   -0.94,   0.010
20190131,    0.92,    0.12,   -1.08,   0.010
20190201,    0.14,   -0.14,    0.43,   0.010
20190204,    0.72,    0.49,   -0.46,   0.010
20190205,    0.43,   -0.08,   -0.60,   0.010
20190206,   -0.22,   -0.02,    0.07,   0.010
20190207,   -0.93,   -0.14,    0.40,   0.010
20190208,    0.09,    0.05,   -0.68,   0.010
20190211,    0.14,    0.66,    0.22,   0.010
20190212,    1.36,    0.02,   -0.17,   0.010
20190213,    0.28,    0.07,    0.07,   0.010
20190214,   -0.21,    0.52,   -0.58,   0.010
20190215,    1.13,    0.25,    0.47,   0.010
20190219,    0.19,    0.30,    0.30,   0.010
20190220,    0.19,    0.21,    0.55,   0.010
20190221,   -0.37,   -0.07,   -0.22,   0.010
20190222,    0.65,    0.55,   -1.47,   0.010
20190225,    0.15,   -0.26,   -0.18,   0.010
20190226,   -0.16,   -0.63,   -0.33,   0.010
20190227,    0.09,    0.19,   -0.12,   0.010
20190228,   -0.31,    0.01,   -0.24,   0.010
20190301,    0.72,    0.29,   -0.41,   0.009
20190304,   -0.52,   -0.40,    0.38,   0.009
20190305,   -0.17,   -0.31,   -0.23,   0.009
20190306,   -0.84,   -1.27,    0.05,   0.009
20190307,   -0.82,   -0.07,   -0.33,   0.009
20190308,   -0.22,    0.05,   -0.15,   0.009
20190311,    1.49,    0.36,   -0.52,   0.009
20190312,    0.25,   -0.27,   -0.08,   0.009
20190313,    0.68,   -0.31,    0.07,   0.009
20190314,   -0.10,   -0.40,    0.30,   0.009
20190315,    0.48,   -0.25,   -0.24,   0.009
20190318,    0.46,    0.16,    0.44,   0.009
